id,title,release_year,rating,genre
84,Montreal,2015,9.54,ACTION
85,Mérida,2016,8.14,ACTION
86,Livingstone,2020,3.95,DRAMA
87,Asmara,2017,5.83,CRIME
88,Luanda,2014,9.82,ACTION
89,Managua,2013,1.2,WESTERN
90,Adak,2021,5,DRAMA
91,Pelotas,2015,1.46,DRAMA
92,Marseille,2015,2.56,WESTERN
93,Semarang,2013,7.63,WESTERN
94,Mwanza,2019,2.16,WESTERN
95,Hangzhou,2021,5.95,DRAMA
96,Raleigh,2015,1.61,DRAMA
97,Suez,2015,2.99,CRIME
98,Vientiane,2018,5.3,CRIME
99,Cali,2018,2.72,CRIME
100,Nassau,2015,8.36,DRAMA
101,Puebla,2016,5.13,WESTERN
102,Charlottetown,2022,1.65,WESTERN
103,Rotterdam,2015,8.73,WESTERN
104,Tripoli,2015,2.45,WESTERN
105,Kuala Lumpur,2021,3.58,CRIME
106,Whitehorse,2015,1.22,ACTION
107,Rotterdam,2022,9.61,DRAMA
108,Espoo,2016,2.08,WESTERN
109,Santiago de Cuba,2017,8.58,WESTERN
110,Baku,2020,7.96,WESTERN
111,Incheon,2019,8.72,CRIME
112,Chongqing,2018,1.85,ACTION
113,Changchun,2022,6.47,DRAMA
114,Luxembourg (city),2013,6.32,ACTION
115,Kobe,2015,10.51,ACTION
116,Melekeok,2020,4.92,ACTION
117,Da Nang,2014,10.84,WESTERN
118,Rawalpindi,2016,10.92,WESTERN
119,Agartala,2019,9.38,WESTERN
120,Toronto,2016,9.44,DRAMA
121,Campo Grande,2015,10.9,ACTION
122,Espoo,2015,7.01,ACTION
123,Manzini,2013,7.33,ACTION
124,Omdurman,2014,8.51,ACTION
125,Vitória,2018,3.26,CRIME
126,Kingstown,2022,3.49,CRIME
127,New York City,2018,7.3,DRAMA
128,Pretoria,2019,1.25,DRAMA
129,Dibrugarh,2013,1.61,DRAMA
130,Seattle,2022,1.5,ACTION
131,Seoul,2018,8.93,ACTION
132,Nouméa,2016,4.62,ACTION
133,Mamoudzou,2012,2.12,CRIME
134,Barranquilla,2019,2.95,WESTERN
135,Forked River,2014,7.4,DRAMA
136,Rabat,2017,3.71,CRIME
137,Ürümqi,2022,8.7,DRAMA
138,São Tomé,2020,8.98,WESTERN
139,Nassau,2021,10.92,CRIME
140,Port Vila,2015,3.99,CRIME
141,Tripoli,2014,7.99,ACTION
142,Chittagong,2020,6.82,CRIME
143,Hangzhou,2013,10.38,WESTERN
144,Bamako,2015,1.25,CRIME
145,Bloemfontein,2021,5.97,CRIME
146,Sri Jayawardenapura-Kotte,2018,3.65,CRIME
147,Hai Phong,2017,5.61,CRIME
148,Iquitos,2016,1.97,ACTION
149,Columbus,2016,5.71,DRAMA
150,Salzburg,2014,1.13,WESTERN
151,St. Louis,2018,7.79,DRAMA
152,Siem Reap,2013,4.35,WESTERN
153,Ho Chi Minh City,2013,2.95,CRIME
154,Wichita,2021,8.22,DRAMA
155,Vatican City,2017,2.88,DRAMA
156,Kathmandu,2019,7.08,WESTERN
157,Maseru,2020,4.15,ACTION
158,Fredericton,2012,8.68,CRIME
159,Zagreb,2021,2.91,WESTERN
160,Taiyuan,2016,6.2,DRAMA
161,Melekeok,2015,1.98,WESTERN
162,Luxor,2016,9.2,ACTION
163,Macau,2015,7.91,WESTERN
164,Accra,2016,6.13,DRAMA
165,Zamboanga City,2016,5.32,ACTION
166,Assis,2013,1.68,CRIME
167,Chicago,2021,1.63,DRAMA
168,Durban,2012,6.4,ACTION
169,Livingstone,2022,5.46,DRAMA
170,Lagos,2019,1.27,ACTION
171,San Juan,2015,9.88,DRAMA
172,Campinas,2012,1.74,CRIME
173,Tbilisi,2020,7.88,DRAMA
174,Lhasa,2016,1.45,CRIME
175,Conakry,2017,5.49,WESTERN
176,Kaliningrad,2014,8.35,ACTION
177,Fortaleza,2017,3.26,CRIME
178,Bamako,2016,9.17,DRAMA
179,Tabriz,2016,6.95,CRIME
180,Dodoma,2021,4.04,ACTION
181,Alexandria,2015,3.24,DRAMA
182,Quito,2019,3.46,CRIME
183,Pristina,2021,3.67,ACTION
184,Shigatse,2020,2.8,WESTERN
185,Manila,2018,10.93,ACTION
186,Houston,2012,10.49,WESTERN
187,Birkirkara,2013,2.09,ACTION
188,Vitória,2015,8.34,DRAMA
189,Christchurch,2018,6.06,DRAMA
190,Sabha,2021,6.92,DRAMA
191,Lusaka,2017,8.27,CRIME
192,Chuí,2015,3.81,DRAMA
193,Sukhumi,2022,3.34,DRAMA
194,Luxor,2013,9.16,CRIME
195,Mexico City,2018,4.54,CRIME
196,Surat,2012,10.34,DRAMA
197,Zanzibar City,2019,7.48,WESTERN
198,Monrovia,2015,8.85,WESTERN
199,Timbuktu,2018,6.24,DRAMA
200,Vienna,2018,4.48,DRAMA
201,Phoenix,2020,8.2,WESTERN
202,Johor Bahru,2013,4.56,ACTION
203,Kota Kinabalu,2013,7.17,ACTION
204,Zagreb,2013,8.45,DRAMA
205,Düsseldorf,2015,4,ACTION
206,Ushuaia,2017,3.98,DRAMA
207,Cape Town,2015,8.77,ACTION
208,Asmara,2012,2.9,CRIME
209,Road Town,2018,10.14,ACTION
210,Jaipur,2014,10.08,DRAMA
211,Birmingham,2012,9.91,WESTERN
212,Brazzaville,2022,10.14,DRAMA
213,Pittsburgh,2012,6.23,CRIME
214,Tabriz,2016,3.88,CRIME
215,Detroit,2020,9.37,DRAMA
216,Bogor,2012,5.26,ACTION
217,Novosibirsk,2012,10.86,CRIME
218,Chişinău,2021,4.24,WESTERN
219,Port of Spain,2014,3.47,CRIME
220,Greenwich,2018,8.65,CRIME
221,Tabriz,2013,4.38,ACTION
222,Invercargill,2013,1.88,CRIME
223,Guatemala City,2014,10.84,CRIME
224,Washington,2021,3.83,DRAMA
225,Medina,2020,9.12,CRIME
226,Tunis,2019,10.69,DRAMA
227,Chittagong,2014,1.58,WESTERN
228,Saskatoon,2012,8.85,DRAMA
229,Hanga Roa,2012,5.76,WESTERN
230,Jinan,2021,7.6,ACTION
231,Vilnius,2022,5.14,CRIME
232,Johannesburg,2020,6.67,WESTERN
233,Alofi,2013,8.17,ACTION
234,Tokyo,2016,2.6,WESTERN
235,Port of Spain,2014,1.03,DRAMA
236,Palikir,2016,2.2,ACTION
237,Kyoto,2019,7.1,CRIME
238,Baku,2018,8.62,ACTION
239,Singapore,2017,4.35,WESTERN
240,Nanjing,2018,10.19,ACTION
241,Denpasar,2012,9.55,DRAMA
242,Muscat,2016,9.78,WESTERN
243,Lisbon,2014,5.91,DRAMA
244,Belmopan,2012,5.8,DRAMA
245,Riverside,2022,9.68,CRIME
246,Nizhny Novgorod,2020,6.47,DRAMA
247,Nouakchott,2013,7.64,DRAMA
248,Rawalpindi,2017,5.52,WESTERN
249,Da Nang,2020,7.19,WESTERN
250,Alexandria,2012,5.49,WESTERN
251,Bucharest,2014,3.67,WESTERN
252,Castries,2017,8.61,DRAMA
253,Fort-de-France,2012,3.03,CRIME
254,Frankfurt,2020,4.06,ACTION
255,Chongjin,2019,1.45,WESTERN
256,Rochester,2017,6.93,DRAMA
257,Nouakchott,2021,5.01,WESTERN
258,Durango,2012,1.12,ACTION
259,Changchun,2016,5.51,WESTERN
260,Incheon,2019,2.62,WESTERN
261,Ulan Bator,2012,4.69,CRIME
262,Barcelona,2016,3.05,ACTION
263,San Diego,2012,7.36,ACTION
264,Belfast,2012,9.48,CRIME
265,Bogotá,2022,4.7,DRAMA
266,Conakry,2013,4.24,CRIME
267,Birkirkara,2019,7.79,DRAMA
268,Bishkek,2022,4.35,CRIME
269,Zanzibar City,2018,10.1,DRAMA
270,Luxor,2022,2.35,CRIME
271,Baltimore,2013,6.04,CRIME
272,Jerusalem,2014,9.43,WESTERN
273,Alexandria,2017,6.07,CRIME
274,Riverside,2018,7.26,DRAMA
275,Tashkent,2012,8.59,WESTERN
276,Tallinn,2015,3.85,DRAMA
277,Udon Thani,2015,9.62,ACTION
278,Chengdu,2017,6.11,WESTERN
279,Malmö,2014,9.69,CRIME
280,Reykjavík,2013,4.35,WESTERN
281,Saskatoon,2022,9.33,WESTERN
282,Singapore,2022,1.17,WESTERN
283,Christchurch,2018,7.76,WESTERN
284,Palembang,2016,6.41,DRAMA
285,Asmara,2022,5.41,WESTERN
286,Bandar Seri Begawan,2015,4.98,WESTERN
287,Weno,2022,10.09,CRIME
288,São Paulo,2013,5.4,ACTION
289,Bogor,2020,7.65,DRAMA
290,Shenzhen,2014,5.43,WESTERN
291,Adak,2014,10.94,WESTERN
292,Albuquerque,2012,6.41,DRAMA
293,Paris,2022,6.19,CRIME
294,Johannesburg,2013,4.89,WESTERN
295,Vilnius,2014,3.79,DRAMA
296,Lucknow,2019,6.06,WESTERN
297,Nukulaelae,2019,10.46,ACTION
298,San Diego,2014,1.23,WESTERN
299,Vilnius,2013,7.33,WESTERN
300,Invercargill,2018,7.41,ACTION
301,Athens,2020,8.77,WESTERN
302,Gangtok,2022,10.36,ACTION
303,Guayaquil,2021,3.36,CRIME
304,Gangtok,2022,7,DRAMA
305,San Antonio,2021,5.73,DRAMA
306,Rio de Janeiro,2014,4.56,DRAMA
307,Manchester,2016,3.91,ACTION
308,Seville,2014,2.14,WESTERN
309,Saskatoon,2018,5.54,WESTERN
310,Quebec City,2012,4.46,WESTERN
311,Ludhiana,2022,8.04,ACTION
312,Denpasar,2017,8.93,CRIME
313,El Paso,2013,7.95,DRAMA
314,Tbilisi,2022,4.6,ACTION
315,Brasília,2016,7.09,WESTERN
316,Saint Petersburg,2016,8.04,DRAMA
317,Anadyr (town),2016,7.6,ACTION
318,Tartu,2017,3.12,ACTION
319,Islamabad,2020,3,DRAMA
320,Porto,2014,8.13,WESTERN
321,Birkirkara,2019,3.11,DRAMA
322,Porto,2021,2.5,DRAMA
323,Recife,2016,4.9,WESTERN
324,Antofagasta,2014,10.52,ACTION
325,Hiroshima,2013,5.53,WESTERN
326,Patna,2012,9.28,ACTION
327,Iloilo City,2014,8.25,ACTION
328,Koror,2015,2.19,CRIME
329,Campo Grande,2012,8.96,ACTION
330,Espoo,2021,6.48,ACTION
331,Chiang Mai,2022,2.9,CRIME
332,Liverpool,2021,5.07,CRIME
333,Chittagong,2021,7.42,DRAMA
334,Edmonton,2016,10,CRIME
335,Veracruz,2015,9.26,CRIME
336,St. Louis,2015,2.11,DRAMA
337,Valparaíso,2019,2.89,DRAMA
338,Kiev,2015,9.06,WESTERN
339,Buenos Aires,2017,2.28,WESTERN
340,Virginia Beach,2020,10.57,ACTION
341,Salt Lake City,2021,1.03,CRIME
342,Jamestown,2018,4.48,DRAMA
343,Denpasar,2018,3.02,DRAMA
344,Zhengzhou,2012,2.77,DRAMA
345,Horta (Azores),2020,2.95,ACTION
346,Chicago,2022,8.99,ACTION
347,Kuching,2018,7.68,DRAMA
348,Kinshasa,2014,8.81,CRIME
349,Zamboanga City,2018,1.2,CRIME
350,Pekanbaru,2014,5.3,WESTERN
351,Kunming,2012,6.67,DRAMA
352,Kota Bharu,2012,5.8,DRAMA
353,Port Hedland,2015,9.2,ACTION
354,Chittagong,2017,6.46,ACTION
355,Accra,2015,2.46,DRAMA
356,Abuja,2022,10.65,DRAMA
357,Vienna,2017,8.04,CRIME
358,Murmansk,2015,8.07,ACTION
359,Yaoundé,2020,8.74,WESTERN
360,Warsaw,2018,4.07,ACTION
361,Guadalajara,2015,3.84,CRIME
362,Papeete,2016,2.52,WESTERN
363,El Aaiún,2015,6.17,DRAMA
364,Pago Pago,2021,8.76,ACTION
365,Daegu,2021,9.42,WESTERN
366,Chongqing,2019,5.65,WESTERN
367,Warsaw,2013,3.9,WESTERN
368,Sarajevo,2012,8.57,WESTERN
369,Bissau,2016,6.57,ACTION
370,Quetzaltenango,2018,3.75,ACTION
371,Sri Jayawardenapura-Kotte,2021,1.44,ACTION
372,Quito,2012,5.8,ACTION
373,Prague,2015,2.88,CRIME
374,Kinshasa,2016,8.94,CRIME
375,Brazzaville,2016,6.95,ACTION
376,Multan,2019,1.23,DRAMA
377,Manchester,2014,8.14,WESTERN
378,Belize City,2016,8.25,WESTERN
379,Düsseldorf,2018,9.87,WESTERN
380,Minsk,2020,4.8,CRIME
381,Kiev,2018,2.69,CRIME
382,Tianjin,2013,10.62,DRAMA
383,Belmopan,2018,10.3,CRIME
384,Greenwich,2021,3.47,WESTERN
385,Gdańsk,2020,8.66,CRIME
386,Forked River,2013,3.32,WESTERN
387,Bratsk,2021,6.17,ACTION
388,Kathmandu,2019,3.4,ACTION
389,Karachi,2015,6.52,WESTERN
390,Damascus,2015,4.02,CRIME
391,Cairns,2013,5.79,ACTION
392,Cardiff,2022,9.83,WESTERN
393,Washington,2014,5.69,WESTERN
394,Dunedin,2021,9.22,DRAMA
395,Edmonton,2013,4.65,DRAMA
396,Jinan,2015,6.77,ACTION
397,Wollongong,2013,6.27,DRAMA
398,Minneapolis,2017,1.21,ACTION
399,Tamale,2019,3.24,DRAMA
400,Cartagena,2016,4.56,ACTION
401,Xi'an,2014,9.42,ACTION
402,Dar es Salaam,2017,1.76,WESTERN
403,St. John's,2017,2.79,DRAMA
404,Saint John,2012,1.89,WESTERN
405,Colombo,2017,3,DRAMA
406,Kota Bharu,2022,9,WESTERN
407,Casablanca,2014,2.09,ACTION
408,Port of Spain,2018,2.57,WESTERN
409,Regina,2020,2.67,DRAMA
410,Lilongwe,2014,3.72,DRAMA
411,Shillong,2022,2.99,ACTION
412,Nanjing,2015,5.13,WESTERN
413,Strasbourg,2022,4.03,WESTERN
414,Okinawa,2016,9.1,CRIME
415,Hilo,2012,6,WESTERN
416,Kuching,2022,3.04,WESTERN
417,Budapest,2013,10.62,ACTION
418,Tijuana,2017,6.78,DRAMA
419,Porto Alegre,2016,3.67,ACTION
420,Wellington,2013,9.58,ACTION
421,San José,2016,6.53,ACTION
422,Phnom Penh,2022,5.51,CRIME
423,Moscow,2013,5.17,ACTION
424,Douglas,2020,9.63,ACTION
425,El Paso,2020,7.87,WESTERN
426,Port Said,2015,4.25,DRAMA
427,Bloemfontein,2012,9.31,WESTERN
428,Bangui,2015,7.15,CRIME
429,Geelong,2013,4.17,DRAMA
430,Regina,2014,7.95,ACTION
431,Nanning,2013,5.64,WESTERN
432,Kota Kinabalu,2014,10.96,DRAMA
433,Okinawa,2017,5.25,WESTERN
434,Medan,2015,1.43,DRAMA
435,Siem Reap,2017,2.9,ACTION
436,Incheon,2013,3.65,DRAMA
437,Málaga,2019,5.8,ACTION
438,Buffalo,2016,7.22,DRAMA
439,Belmopan,2012,1.43,CRIME
440,Munich,2019,6.48,ACTION
441,Taipei,2015,8.37,ACTION
442,Zanzibar City,2020,1.15,ACTION
443,South Tarawa,2012,10.11,ACTION
444,Suva,2015,2.1,DRAMA
445,Port of Spain,2012,7.86,ACTION
446,Cayenne,2020,1.31,ACTION
447,Abuja,2015,6.28,DRAMA
448,Vientiane,2016,9.07,CRIME
449,Ankara,2020,6.01,ACTION
450,Yangon,2020,10.69,WESTERN
451,Belmopan,2018,9.28,WESTERN
452,Bangui,2015,3.25,ACTION
453,Valletta,2021,9.25,DRAMA
454,Nagoya,2017,10.79,CRIME
455,Amman,2014,2.8,CRIME
456,Dallas,2019,8.83,ACTION
457,Las Vegas,2012,9.85,ACTION
458,Virginia Beach,2022,6.64,ACTION
459,Jerusalem,2012,10.13,ACTION
460,Houston,2014,2.94,WESTERN
461,Francistown,2022,5.41,CRIME
462,Iquique,2015,6.67,CRIME
463,Memphis,2022,4.91,WESTERN
464,Belfast,2017,10.53,WESTERN
465,Thimphu,2013,8.98,CRIME
466,Graz,2012,1.9,CRIME
467,Yangon,2021,6.77,WESTERN
468,Gaza,2013,3.3,CRIME
469,Mecca,2022,4.56,CRIME
470,Udon Thani,2017,5.08,WESTERN
471,Pekanbaru,2020,3.62,WESTERN
472,Ilhéus,2019,9.47,DRAMA
473,Malacca Town,2017,3.52,CRIME
474,Saint Petersburg,2018,9.08,CRIME
475,Vatican City,2020,9.43,ACTION
476,Salzburg,2016,8.45,ACTION
477,Konya,2013,9.89,CRIME
478,Saipan,2022,5.35,DRAMA
479,Los Angeles,2012,7.76,ACTION
480,Porto Alegre,2017,8.51,ACTION
481,Douglas,2017,3.42,CRIME
482,Dakar,2015,9.61,WESTERN
483,Bilbao,2022,6.78,ACTION
484,Bogotá,2019,7.2,DRAMA
485,Sukhumi,2018,5.39,CRIME
486,City of Halifax,2016,2.73,DRAMA
487,Adelaide,2019,9.44,WESTERN
488,Abidjan,2017,7.86,DRAMA
489,Bern,2017,7.96,WESTERN
490,Vienna,2018,7.45,WESTERN
491,Bratislava,2022,3.98,WESTERN
492,Valparaíso,2013,3.16,ACTION
493,Samara,2020,5.35,CRIME
494,Shenyang,2017,7.69,DRAMA
495,Dresden,2019,6.34,WESTERN
496,Rochester,2012,4.96,CRIME
497,Phuket (city),2013,2.47,DRAMA
498,Kandy,2017,6.87,WESTERN
499,Qingdao,2018,4.28,DRAMA
500,Hong Kong,2012,8.08,CRIME
501,Mumbai,2020,5.06,DRAMA
502,Changchun,2020,10.46,CRIME
503,Perm,2018,6.3,CRIME
504,Leipzig,2017,2.8,DRAMA
505,Okinawa,2013,10.68,ACTION
506,San Diego,2017,5.01,CRIME
507,Virginia Beach,2022,6.4,ACTION
508,Labasa,2020,10.12,CRIME
509,Pekanbaru,2017,10.47,WESTERN
510,Lanzhou,2021,8.58,CRIME
511,Denver,2012,5.86,ACTION
512,Berlin,2013,5.09,CRIME
513,Port Elizabeth,2012,4.64,WESTERN
514,Omsk,2015,9.57,WESTERN
515,Marrakech,2018,3.69,ACTION
516,Suva,2020,10.9,CRIME
517,Calgary,2019,8.14,WESTERN
518,Belgrade,2019,4.32,CRIME
519,Port of Spain,2014,8.5,DRAMA
520,Vienna,2020,3.52,DRAMA
521,Shillong,2017,1.34,CRIME
522,Bujumbura,2017,2.13,CRIME
523,Hat Yai,2020,9.71,ACTION
524,Tiraspol,2021,3.22,WESTERN
525,Labasa,2017,9.74,DRAMA
526,Townsville,2013,5,CRIME
527,Rotterdam,2017,6.45,ACTION
528,Yellowknife,2015,1.29,DRAMA
529,Phuket (city),2019,4.92,ACTION
530,Murmansk,2022,1.04,DRAMA
531,Düsseldorf,2019,2.64,CRIME
532,Nicosia,2013,8.64,ACTION
533,Malabo,2015,4.29,CRIME
534,Malang,2018,7.21,WESTERN
535,Virginia Beach,2018,1.71,WESTERN
536,Dallas,2012,4.65,ACTION
537,Surat,2013,4.63,CRIME
538,Mata-Utu,2015,4.09,DRAMA
539,Leeds,2021,5.23,CRIME
540,Koulikoro,2012,2.84,CRIME
541,Leeds,2016,5.28,WESTERN
542,Luxembourg (city),2013,8.13,CRIME
543,Port-au-Prince,2021,10.58,ACTION
544,Bratislava,2014,3.48,CRIME
545,Prague,2020,7.61,ACTION
546,Montreal,2018,5.7,WESTERN
547,Medina,2013,8.8,ACTION
548,Tegucigalpa,2015,4.37,CRIME
549,Arequipa,2020,9.61,DRAMA
550,Beirut,2021,6.45,WESTERN
551,Brussels,2013,7.69,ACTION
552,Mérida,2015,4.09,DRAMA
553,Calgary,2019,8.4,ACTION
554,Srinagar,2017,9.18,CRIME
555,Surat Thani,2022,9.15,DRAMA
556,Fukuoka,2020,4.87,ACTION
557,Edinburgh,2014,7.56,WESTERN
558,Ibadan,2015,5.78,WESTERN
559,Newcastle,2013,6.63,CRIME
560,Campinas,2015,4.95,WESTERN
561,Hanga Roa,2017,10.59,ACTION
562,Brisbane,2014,3.44,CRIME
563,Bogotá,2020,2.88,ACTION
564,Vientiane,2016,9.34,ACTION
565,Amritsar,2017,6.31,ACTION
566,Anchorage,2018,8.17,DRAMA
567,Stanley,2021,1.3,CRIME
568,Magadan,2018,3.61,CRIME
569,Porto Alegre,2021,6.26,DRAMA
570,Puerto Williams,2021,7.72,ACTION
571,St. George's,2017,8.07,WESTERN
572,Hargeisa,2016,5.97,DRAMA
573,Brussels,2018,8.55,DRAMA
574,Concepción,2012,3.67,WESTERN
575,Colombo,2018,3.22,DRAMA
576,Honiara,2021,7.77,WESTERN
577,Nukus,2013,2.51,CRIME
578,Makati City,2017,3.16,CRIME
579,Montreal,2016,9.22,WESTERN
580,Dededo,2021,1.13,CRIME
581,Rio Branco,2017,10.54,ACTION
582,Maracaibo,2014,3.98,DRAMA
583,Strasbourg,2015,8.16,CRIME
584,Dhaka,2015,5.52,WESTERN
585,Kyoto,2019,5.78,CRIME
586,Shanghai,2019,7.34,CRIME
587,Cotonou,2016,3.88,CRIME
588,Khartoum,2022,9.95,ACTION
589,Tehran,2015,1.09,WESTERN
590,Johannesburg,2012,10.59,WESTERN
591,Cairo,2022,7.05,WESTERN
592,Campinas,2021,5.37,WESTERN
593,Maseru,2019,8.29,DRAMA
594,Berlin,2020,2.29,ACTION
595,Lhasa,2012,7.3,ACTION
596,Tagbilaran,2014,6.82,WESTERN
597,Shigatse,2018,1.73,CRIME
598,Kingston,2018,7.35,CRIME
599,Addis Ababa,2019,4.07,DRAMA
600,Chennai,2020,7.49,CRIME
601,Mumbai,2018,8.62,CRIME
602,Townsville,2018,5.68,DRAMA
603,St. Louis,2013,4.43,WESTERN
604,Porto,2014,5.22,ACTION
605,Naypyidaw,2019,7.69,ACTION
606,Tartu,2021,6.52,DRAMA
607,Hangzhou,2018,1.65,WESTERN
608,Tijuana,2012,9.71,DRAMA
609,Bogor,2016,7.84,CRIME
610,Bogotá,2020,9.2,CRIME
611,Nouméa,2018,8.95,CRIME
612,Istanbul,2013,9.44,ACTION
613,Helsinki,2021,8.54,DRAMA
614,Handan,2015,4.48,CRIME
615,Saint-Pierre,2022,5.27,CRIME
616,Mérida,2021,9.55,CRIME
617,Strasbourg,2014,2.5,WESTERN
618,La Paz,2022,2.4,ACTION
619,Vitória,2015,6.92,CRIME
620,Doha,2016,9.44,WESTERN
621,Amritsar,2022,4.3,WESTERN
622,Hong Kong,2014,5.83,CRIME
623,Havana,2014,10.61,DRAMA
624,Dakar,2012,3.4,DRAMA
625,Zamboanga City,2018,9.83,ACTION
626,Arbil,2012,1.45,DRAMA
627,Palikir,2018,8.44,CRIME
628,Port Hedland,2017,5.42,WESTERN
629,London,2012,3.12,DRAMA
630,Vitória,2019,10.79,CRIME
631,Yakutsk,2021,4.48,ACTION
632,Porto,2022,9.48,DRAMA
633,Jerusalem,2014,1.92,WESTERN
634,Chengdu,2016,4.05,CRIME
635,Copenhagen,2021,10.52,DRAMA
636,São Tomé,2018,1.28,WESTERN
637,Yerevan,2014,10.19,ACTION
638,Koulikoro,2018,5.66,DRAMA
639,Lomé,2014,4.44,DRAMA
640,Chuí,2018,7.41,CRIME
641,Tripoli,2021,7.68,DRAMA
642,Kuwait City,2014,6.16,ACTION
643,Dhaka,2016,6.28,DRAMA
644,Nizhny Novgorod,2020,10.6,DRAMA
645,Novosibirsk,2018,1.8,ACTION
646,Cork (city),2022,10.2,ACTION
647,Mandurah,2019,7.57,WESTERN
648,Liverpool,2021,6.09,DRAMA
649,Omdurman,2013,2.18,DRAMA
650,Muscat,2022,10.67,DRAMA
651,Alexandria,2016,5.64,DRAMA
652,Bissau,2019,6.09,WESTERN
653,Omdurman,2020,6.58,CRIME
654,St. John's,2015,3.11,CRIME
655,Amman,2015,6.71,ACTION
656,Munich,2020,3.2,ACTION
657,Cebu City,2013,8.01,CRIME
658,Hanga Roa,2012,6.24,CRIME
659,Longyearbyen,2020,2.99,DRAMA
660,Bogotá,2019,4.88,WESTERN
661,Milan,2022,10.05,WESTERN
662,Shijiazhuang,2012,6.72,WESTERN
663,Baku,2016,3.87,ACTION
664,Gdańsk,2020,2.87,WESTERN
665,Hangzhou,2014,1.13,CRIME
666,Port-au-Prince,2012,6.48,ACTION
667,Hagåtña,2016,9.14,WESTERN
668,Bulawayo,2012,7.55,WESTERN
669,Makassar,2020,1.4,CRIME
670,Avarua,2019,9.19,ACTION
671,Aarhus,2022,2.96,CRIME
672,İzmir,2017,4.13,WESTERN
673,Kathmandu,2017,2.84,DRAMA
674,Tampere,2013,9.55,WESTERN
675,Philadelphia,2022,2.85,WESTERN
676,Liverpool,2019,8.97,DRAMA
677,Philadelphia,2017,9.71,CRIME
678,Baku,2013,10.51,ACTION
679,Iqaluit,2021,9.22,CRIME
680,Portland,2015,4.25,DRAMA
681,Stockholm,2017,8.16,ACTION
682,Murmansk,2012,5.41,DRAMA
